Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Calphad,3623,Elsevier Science,/scimag/journals/3623,/scimag/?journal=3623&page=1,107,/scimag/?journal=3623&year=2017&volume=56&issue=,/scimag/?journal=3623&year=2018&volume=60&issue=,/scimag/?journal=3623&year=2019&volume=64&issue=,/scimag/?journal=3623&year=2020&volume=68&issue=,/scimag/?journal=3623&year=2021&volume=72&issue=
Canadian Journal of Medical Radiation Technology,3678,Elsevier Science,/scimag/journals/3678,/scimag/?journal=3678&page=1,11,,,,,
Cancer Cell,3726,Elsevier Science,/scimag/journals/3726,/scimag/?journal=3726&page=1,122,/scimag/?journal=3726&year=2017&volume=31&issue=1,/scimag/?journal=3726&year=2018&volume=33&issue=1,/scimag/?journal=3726&year=2019&volume=35&issue=1,/scimag/?journal=3726&year=2020&volume=37&issue=1,/scimag/?journal=3726&year=2021&volume=39&issue=2
Cancer Detection and Prevention,3730,Elsevier Science,/scimag/journals/3730,/scimag/?journal=3730&page=1,24,,,,,
Cancer Genetics and Cytogenetics,3737,Elsevier Science,/scimag/journals/3737,/scimag/?journal=3737&page=1,372,,,,,
Cancer Letters,3743,Elsevier Science,/scimag/journals/3743,/scimag/?journal=3743&page=1,646,/scimag/?journal=3743&year=2017&volume=384&issue=,/scimag/?journal=3743&year=2018&volume=412&issue=,/scimag/?journal=3743&year=2019&volume=440-441&issue=,/scimag/?journal=3743&year=2020&volume=468&issue=,/scimag/?journal=3743&year=2021&volume=496&issue=
Cancer Treatment Reviews,3757,Elsevier Science,/scimag/journals/3757,/scimag/?journal=3757&page=1,134,/scimag/?journal=3757&year=2017&volume=52&issue=,/scimag/?journal=3757&year=2018&volume=62&issue=,/scimag/?journal=3757&year=2019&volume=72&issue=,/scimag/?journal=3757&year=2020&volume=82&issue=,/scimag/?journal=3757&year=2021&volume=92&issue=
Cancer/Radiothérapie,3758,Elsevier Science,/scimag/journals/3758,/scimag/?journal=3758&page=1,209,/scimag/?journal=3758&year=2017&volume=21&issue=1,/scimag/?journal=3758&year=2018&volume=22&issue=1,/scimag/?journal=3758&year=2019&volume=23&issue=1,/scimag/?journal=3758&year=2020&volume=24&issue=1,/scimag/?journal=3758&year=2021&volume=25&issue=5
Carbohydrate Polymers,3765,Elsevier Science,/scimag/journals/3765,/scimag/?journal=3765&page=1,730,/scimag/?journal=3765&year=2017&volume=155&issue=,/scimag/?journal=3765&year=2018&volume=179&issue=,/scimag/?journal=3765&year=2019&volume=203&issue=,/scimag/?journal=3765&year=2020&volume=227&issue=,/scimag/?journal=3765&year=2021&volume=251&issue=
Carbohydrate Research,3766,Elsevier Science,/scimag/journals/3766,/scimag/?journal=3766&page=1,810,/scimag/?journal=3766&year=2017&volume=437&issue=,/scimag/?journal=3766&year=2018&volume=455&issue=,/scimag/?journal=3766&year=2019&volume=471&issue=,/scimag/?journal=3766&year=2020&volume=487&issue=,
Carbon,3767,Elsevier Science,/scimag/journals/3767,/scimag/?journal=3767&page=1,947,/scimag/?journal=3767&year=2017&volume=111&issue=,/scimag/?journal=3767&year=2018&volume=126&issue=,/scimag/?journal=3767&year=2019&volume=141&issue=,/scimag/?journal=3767&year=2020&volume=156&issue=,/scimag/?journal=3767&year=2021&volume=171&issue=
Card Technology Today,3773,Elsevier Science,/scimag/journals/3773,/scimag/?journal=3773&page=1,81,,,,,
Cardiology Clinics,3781,Elsevier Science,/scimag/journals/3781,/scimag/?journal=3781&page=1,91,/scimag/?journal=3781&year=2017&volume=35&issue=1,/scimag/?journal=3781&year=2018&volume=36&issue=1,/scimag/?journal=3781&year=2019&volume=37&issue=1,/scimag/?journal=3781&year=2020&volume=38&issue=1,/scimag/?journal=3781&year=2021&volume=39&issue=1
Cardiovascular Pathology,3801,Elsevier Science,/scimag/journals/3801,/scimag/?journal=3801&page=1,113,/scimag/?journal=3801&year=2017&volume=26&issue=,/scimag/?journal=3801&year=2018&volume=32&issue=,/scimag/?journal=3801&year=2019&volume=38&issue=,/scimag/?journal=3801&year=2020&volume=44&issue=,/scimag/?journal=3801&year=2021&volume=50&issue=
Cardiovascular Radiation Medicine,3803,Elsevier Science,/scimag/journals/3803,/scimag/?journal=3803&page=1,16,,,,,
Cardiovascular Revascularization Medicine,3806,Elsevier Science,/scimag/journals/3806,/scimag/?journal=3806&page=1,113,/scimag/?journal=3806&year=2017&volume=18&issue=1,/scimag/?journal=3806&year=2018&volume=19&issue=1,/scimag/?journal=3806&year=2019&volume=20&issue=1,/scimag/?journal=3806&year=2020&volume=21&issue=1,
Cardiovascular Surgery,3807,Elsevier Science,/scimag/journals/3807,/scimag/?journal=3807&page=1,92,,,,,
Carnegie-Rochester Conference Series on Public Policy,3821,Elsevier Science,/scimag/journals/3821,/scimag/?journal=3821&page=1,33,,,,,
Catalysis Communications,3874,Elsevier Science,/scimag/journals/3874,/scimag/?journal=3874&page=1,253,/scimag/?journal=3874&year=2017&volume=88&issue=,/scimag/?journal=3874&year=2018&volume=103&issue=,/scimag/?journal=3874&year=2019&volume=118&issue=,/scimag/?journal=3874&year=2020&volume=133&issue=,/scimag/?journal=3874&year=2021&volume=148&issue=
Catalysis Today,3881,Elsevier Science,/scimag/journals/3881,/scimag/?journal=3881&page=1,572,/scimag/?journal=3881&year=2017&volume=279&issue=,/scimag/?journal=3881&year=2018&volume=299&issue=,/scimag/?journal=3881&year=2019&volume=319&issue=,/scimag/?journal=3881&year=2020&volume=339&issue=,/scimag/?journal=3881&year=2021&volume=359&issue=
CATENA,3883,Elsevier Science,/scimag/journals/3883,/scimag/?journal=3883&page=1,235,/scimag/?journal=3883&year=2017&volume=148&issue=,/scimag/?journal=3883&year=2018&volume=160&issue=,/scimag/?journal=3883&year=2019&volume=172&issue=,/scimag/?journal=3883&year=2020&volume=184&issue=,/scimag/?journal=3883&year=2021&volume=196&issue=
Cell,3893,Elsevier Science,/scimag/journals/3893,/scimag/?journal=3893&page=1,942,/scimag/?journal=3893&year=2017&volume=168&issue=1-2,/scimag/?journal=3893&year=2018&volume=172&issue=1-2,/scimag/?journal=3893&year=2019&volume=176&issue=1-2,/scimag/?journal=3893&year=2020&volume=180&issue=1,/scimag/?journal=3893&year=2021&volume=184&issue=1
Cell Biology International,3905,Elsevier Science,/scimag/journals/3905,/scimag/?journal=3905&page=1,197,/scimag/?journal=3905&year=2017&volume=41&issue=1,/scimag/?journal=3905&year=2018&volume=42&issue=1,/scimag/?journal=3905&year=2019&volume=43&issue=1,/scimag/?journal=3905&year=2020&volume=44&issue=1,/scimag/?journal=3905&year=2021&volume=&issue=
Cell Biology International Reports,3907,Elsevier Science,/scimag/journals/3907,/scimag/?journal=3907&page=1,147,,,,,
Cell Calcium,3909,Elsevier Science,/scimag/journals/3909,/scimag/?journal=3909&page=1,155,/scimag/?journal=3909&year=2017&volume=61&issue=,/scimag/?journal=3909&year=2018&volume=69&issue=,/scimag/?journal=3909&year=2019&volume=77&issue=,/scimag/?journal=3909&year=2020&volume=85&issue=,/scimag/?journal=3909&year=2021&volume=93&issue=
Cell Differentiation,3916,Elsevier Science,/scimag/journals/3916,/scimag/?journal=3916&page=1,75,,,,,
Cell Differentiation and Development,3917,Elsevier Science,/scimag/journals/3917,/scimag/?journal=3917&page=1,37,,,,,
Cell Host & Microbe,3920,Elsevier Science,/scimag/journals/3920,/scimag/?journal=3920&page=1,95,/scimag/?journal=3920&year=2017&volume=21&issue=1,/scimag/?journal=3920&year=2018&volume=23&issue=1,/scimag/?journal=3920&year=2019&volume=25&issue=1,/scimag/?journal=3920&year=2020&volume=27&issue=1,/scimag/?journal=3920&year=2021&volume=29&issue=5
Cell Metabolism,3922,Elsevier Science,/scimag/journals/3922,/scimag/?journal=3922&page=1,122,/scimag/?journal=3922&year=2017&volume=25&issue=1,/scimag/?journal=3922&year=2018&volume=27&issue=1,/scimag/?journal=3922&year=2019&volume=29&issue=1,/scimag/?journal=3922&year=2020&volume=31&issue=1,/scimag/?journal=3922&year=2021&volume=33&issue=1
Cellular Immunology,3941,Elsevier Science,/scimag/journals/3941,/scimag/?journal=3941&page=1,475,/scimag/?journal=3941&year=2017&volume=311&issue=,/scimag/?journal=3941&year=2018&volume=323&issue=,/scimag/?journal=3941&year=2019&volume=335&issue=,/scimag/?journal=3941&year=2020&volume=347&issue=,/scimag/?journal=3941&year=2021&volume=359&issue=
Cellular Signalling,3948,Elsevier Science,/scimag/journals/3948,/scimag/?journal=3948&page=1,225,/scimag/?journal=3948&year=2017&volume=29&issue=,/scimag/?journal=3948&year=2018&volume=41&issue=,/scimag/?journal=3948&year=2019&volume=53&issue=,/scimag/?journal=3948&year=2020&volume=65&issue=,/scimag/?journal=3948&year=2021&volume=77&issue=
Cement and Concrete Composites,3950,Elsevier Science,/scimag/journals/3950,/scimag/?journal=3950&page=1,152,/scimag/?journal=3950&year=2017&volume=75&issue=,/scimag/?journal=3950&year=2018&volume=85&issue=,/scimag/?journal=3950&year=2019&volume=95&issue=,/scimag/?journal=3950&year=2020&volume=105&issue=,/scimag/?journal=3950&year=2021&volume=115&issue=
Cement and Concrete Research,3951,Elsevier Science,/scimag/journals/3951,/scimag/?journal=3951&page=1,375,/scimag/?journal=3951&year=2017&volume=91&issue=,/scimag/?journal=3951&year=2018&volume=103&issue=,/scimag/?journal=3951&year=2019&volume=115&issue=,/scimag/?journal=3951&year=2020&volume=127&issue=,/scimag/?journal=3951&year=2021&volume=139&issue=
Ceramics International,3980,Elsevier Science,/scimag/journals/3980,/scimag/?journal=3980&page=1,1080,/scimag/?journal=3980&year=2017&volume=43&issue=1,/scimag/?journal=3980&year=2018&volume=44&issue=,/scimag/?journal=3980&year=2019&volume=45&issue=1,/scimag/?journal=3980&year=2020&volume=46&issue=1,/scimag/?journal=3980&year=2021&volume=47&issue=1
Ceramurgia International,3981,Elsevier Science,/scimag/journals/3981,/scimag/?journal=3981&page=1,16,,,,,
"Chaos, Solitons & Fractals",4010,Elsevier Science,/scimag/journals/4010,/scimag/?journal=4010&page=1,426,/scimag/?journal=4010&year=2017&volume=94&issue=,/scimag/?journal=4010&year=2018&volume=106&issue=,/scimag/?journal=4010&year=2019&volume=118&issue=,/scimag/?journal=4010&year=2020&volume=130&issue=,/scimag/?journal=4010&year=2021&volume=142&issue=
Chemical Engineering and Processing: Process Intensification,4027,Elsevier Science,/scimag/journals/4027,/scimag/?journal=4027&page=1,196,/scimag/?journal=4027&year=2017&volume=111&issue=,/scimag/?journal=4027&year=2018&volume=123&issue=,/scimag/?journal=4027&year=2019&volume=135&issue=,/scimag/?journal=4027&year=2020&volume=147&issue=,/scimag/?journal=4027&year=2021&volume=160&issue=
Chemical Engineering Journal,4029,Elsevier Science,/scimag/journals/4029,/scimag/?journal=4029&page=1,972,/scimag/?journal=4029&year=2017&volume=307&issue=,/scimag/?journal=4029&year=2018&volume=331&issue=,/scimag/?journal=4029&year=2019&volume=355&issue=,/scimag/?journal=4029&year=2020&volume=379&issue=,/scimag/?journal=4029&year=2021&volume=403&issue=
Chemical Engineering Science,4032,Elsevier Science,/scimag/journals/4032,/scimag/?journal=4032&page=1,1060,/scimag/?journal=4032&year=2017&volume=157&issue=,/scimag/?journal=4032&year=2018&volume=175&issue=,/scimag/?journal=4032&year=2019&volume=193&issue=,/scimag/?journal=4032&year=2020&volume=211&issue=,/scimag/?journal=4032&year=2021&volume=229&issue=
Chemical Geology,4033,Elsevier Science,/scimag/journals/4033,/scimag/?journal=4033&page=1,467,/scimag/?journal=4033&year=2017&volume=448&issue=,/scimag/?journal=4033&year=2018&volume=476&issue=,/scimag/?journal=4033&year=2019&volume=503&issue=,/scimag/?journal=4033&year=2020&volume=531&issue=,/scimag/?journal=4033&year=2021&volume=559&issue=
Chemical Geology: Isotope Geoscience section,4034,Elsevier Science,/scimag/journals/4034,/scimag/?journal=4034&page=1,18,,,,,
Chemical Health and Safety,4035,Elsevier Science,/scimag/journals/4035,/scimag/?journal=4035&page=1,99,/scimag/?journal=4035&year=2017&volume=24&issue=1,/scimag/?journal=4035&year=2018&volume=25&issue=1,/scimag/?journal=4035&year=2019&volume=26&issue=1,/scimag/?journal=4035&year=2020&volume=27&issue=1,
Chemical Physics,4038,Elsevier Science,/scimag/journals/4038,/scimag/?journal=4038&page=1,740,/scimag/?journal=4038&year=2017&volume=482&issue=,/scimag/?journal=4038&year=2018&volume=500&issue=,/scimag/?journal=4038&year=2019&volume=516&issue=,/scimag/?journal=4038&year=2020&volume=528&issue=,/scimag/?journal=4038&year=2021&volume=540&issue=
Chemical Physics Letters,4039,Elsevier Science,/scimag/journals/4039,/scimag/?journal=4039&page=1,2512,/scimag/?journal=4039&year=2017&volume=667&issue=,/scimag/?journal=4039&year=2018&volume=691&issue=,/scimag/?journal=4039&year=2019&volume=714&issue=,/scimag/?journal=4039&year=2020&volume=738&issue=,/scimag/?journal=4039&year=2021&volume=762&issue=
Chemical Research in Chinese Universities,4041,Elsevier Science,/scimag/journals/4041,/scimag/?journal=4041&page=1,80,/scimag/?journal=4041&year=2017&volume=33&issue=1,/scimag/?journal=4041&year=2018&volume=34&issue=1,/scimag/?journal=4041&year=2019&volume=35&issue=1,/scimag/?journal=4041&year=2020&volume=36&issue=1,
Chemico-Biological Interactions,4050,Elsevier Science,/scimag/journals/4050,/scimag/?journal=4050&page=1,362,/scimag/?journal=4050&year=2017&volume=261&issue=,/scimag/?journal=4050&year=2018&volume=279&issue=,/scimag/?journal=4050&year=2019&volume=297&issue=,/scimag/?journal=4050&year=2020&volume=315&issue=,/scimag/?journal=4050&year=2021&volume=333&issue=
Chemie der Erde - Geochemistry,4051,Elsevier Science,/scimag/journals/4051,/scimag/?journal=4051&page=1,30,/scimag/?journal=4051&year=2017&volume=77&issue=1,/scimag/?journal=4051&year=2018&volume=78&issue=1,/scimag/?journal=4051&year=2019&volume=79&issue=1,/scimag/?journal=4051&year=2020&volume=80&issue=1,
Chemistry & Biology,4061,Elsevier Science,/scimag/journals/4061,/scimag/?journal=4061&page=1,152,,,,,
Chemistry and Physics of Lipids,4064,Elsevier Science,/scimag/journals/4064,/scimag/?journal=4064&page=1,250,/scimag/?journal=4064&year=2017&volume=202&issue=,/scimag/?journal=4064&year=2018&volume=210&issue=,/scimag/?journal=4064&year=2019&volume=218&issue=,/scimag/?journal=4064&year=2020&volume=226&issue=,/scimag/?journal=4064&year=2021&volume=234&issue=
Chemometrics and Intelligent Laboratory Systems,4076,Elsevier Science,/scimag/journals/4076,/scimag/?journal=4076&page=1,208,/scimag/?journal=4076&year=2017&volume=160&issue=,/scimag/?journal=4076&year=2018&volume=172&issue=,/scimag/?journal=4076&year=2019&volume=184&issue=,/scimag/?journal=4076&year=2020&volume=196&issue=,/scimag/?journal=4076&year=2021&volume=208&issue=
Chemosphere,4078,Elsevier Science,/scimag/journals/4078,/scimag/?journal=4078&page=1,1363,/scimag/?journal=4078&year=2017&volume=166&issue=,/scimag/?journal=4078&year=2018&volume=190&issue=,/scimag/?journal=4078&year=2019&volume=214&issue=,/scimag/?journal=4078&year=2020&volume=238&issue=,/scimag/?journal=4078&year=2021&volume=262&issue=
Chemosphere - Global Change Science,4079,Elsevier Science,/scimag/journals/4079,/scimag/?journal=4079&page=1,6,,,,,
Chest Surgery Clinics of North America,4089,Elsevier Science,/scimag/journals/4089,/scimag/?journal=4089&page=1,5,,,,,
Child Abuse & Neglect,4097,Elsevier Science,/scimag/journals/4097,/scimag/?journal=4097&page=1,251,/scimag/?journal=4097&year=2017&volume=63&issue=,/scimag/?journal=4097&year=2018&volume=75&issue=,/scimag/?journal=4097&year=2019&volume=87&issue=,/scimag/?journal=4097&year=2020&volume=99&issue=,/scimag/?journal=4097&year=2021&volume=111&issue=
Child and Adolescent Psychiatric Clinics of North America,4100,Elsevier Science,/scimag/journals/4100,/scimag/?journal=4100&page=1,75,/scimag/?journal=4100&year=2017&volume=26&issue=1,/scimag/?journal=4100&year=2018&volume=27&issue=1,/scimag/?journal=4100&year=2019&volume=28&issue=1,/scimag/?journal=4100&year=2020&volume=29&issue=1,/scimag/?journal=4100&year=2021&volume=30&issue=1
Children and Youth Services Review,4124,Elsevier Science,/scimag/journals/4124,/scimag/?journal=4124&page=1,261,/scimag/?journal=4124&year=2017&volume=72&issue=,/scimag/?journal=4124&year=2018&volume=84&issue=,/scimag/?journal=4124&year=2019&volume=96&issue=,/scimag/?journal=4124&year=2020&volume=108&issue=,/scimag/?journal=4124&year=2021&volume=120&issue=
China Economic Review,4142,Elsevier Science,/scimag/journals/4142,/scimag/?journal=4142&page=1,69,/scimag/?journal=4142&year=2017&volume=42&issue=,/scimag/?journal=4142&year=2018&volume=47&issue=,/scimag/?journal=4142&year=2019&volume=53&issue=,/scimag/?journal=4142&year=2020&volume=59&issue=,/scimag/?journal=4142&year=2021&volume=65&issue=
Chinese Astronomy,4158,Elsevier Science,/scimag/journals/4158,/scimag/?journal=4158&page=1,8,,,,,
Chinese Astronomy and Astrophysics,4159,Elsevier Science,/scimag/journals/4159,/scimag/?journal=4159&page=1,113,/scimag/?journal=4159&year=2017&volume=41&issue=1,/scimag/?journal=4159&year=2018&volume=42&issue=1,/scimag/?journal=4159&year=2019&volume=43&issue=1,/scimag/?journal=4159&year=2020&volume=44&issue=1,
Chinese Journal of Aeronautics,4166,Elsevier Science,/scimag/journals/4166,/scimag/?journal=4166&page=1,109,/scimag/?journal=4166&year=2017&volume=30&issue=1,/scimag/?journal=4166&year=2018&volume=31&issue=1,/scimag/?journal=4166&year=2019&volume=32&issue=1,/scimag/?journal=4166&year=2020&volume=33&issue=1,/scimag/?journal=4166&year=2021&volume=34&issue=1
Chinese Journal of Analytical Chemistry,4168,Elsevier Science,/scimag/journals/4168,/scimag/?journal=4168&page=1,48,/scimag/?journal=4168&year=2017&volume=45&issue=1,/scimag/?journal=4168&year=2018&volume=46&issue=1,/scimag/?journal=4168&year=2019&volume=47&issue=1,/scimag/?journal=4168&year=2020&volume=48&issue=1,
Chinese Journal of Biotechnology,4173,Elsevier Science,/scimag/journals/4173,/scimag/?journal=4173&page=1,8,,,,,
Chinese Journal of Catalysis,4176,Elsevier Science,/scimag/journals/4176,/scimag/?journal=4176&page=1,102,/scimag/?journal=4176&year=2017&volume=38&issue=1,/scimag/?journal=4176&year=2018&volume=39&issue=1,/scimag/?journal=4176&year=2019&volume=40&issue=1,/scimag/?journal=4176&year=2020&volume=41&issue=1,/scimag/?journal=4176&year=2021&volume=42&issue=1
Chinese Journal of Chemical Engineering,4178,Elsevier Science,/scimag/journals/4178,/scimag/?journal=4178&page=1,134,/scimag/?journal=4178&year=2017&volume=25&issue=2,/scimag/?journal=4178&year=2018&volume=26&issue=4,/scimag/?journal=4178&year=2019&volume=27&issue=4,/scimag/?journal=4178&year=2020&volume=28&issue=1,
Chinese Medical Sciences Journal,4209,Elsevier Science,/scimag/journals/4209,/scimag/?journal=4209&page=1,19,/scimag/?journal=4209&year=2017&volume=32&issue=3,,/scimag/?journal=4209&year=2019&volume=&issue=,/scimag/?journal=4209&year=2020&volume=&issue=,
Chirurgie,4226,Elsevier Science,/scimag/journals/4226,/scimag/?journal=4226&page=1,10,,,,,
Chirurgie de la Main,4227,Elsevier Science,/scimag/journals/4227,/scimag/?journal=4227&page=1,91,,,,,
Chromatographic Reviews,4238,Elsevier Science,/scimag/journals/4238,/scimag/?journal=4238&page=1,7,,,,,
Cirugía Española,4292,Elsevier Science,/scimag/journals/4292,/scimag/?journal=4292&page=1,150,/scimag/?journal=4292&year=2017&volume=95&issue=1,/scimag/?journal=4292&year=2018&volume=96&issue=2,/scimag/?journal=4292&year=2019&volume=97&issue=1,/scimag/?journal=4292&year=2020&volume=98&issue=1,
Cities,4296,Elsevier Science,/scimag/journals/4296,/scimag/?journal=4296&page=1,160,/scimag/?journal=4296&year=2017&volume=60&issue=,/scimag/?journal=4296&year=2018&volume=72&issue=,/scimag/?journal=4296&year=2019&volume=84&issue=,/scimag/?journal=4296&year=2020&volume=96&issue=,/scimag/?journal=4296&year=2021&volume=108&issue=
Clinica Chimica Acta,4339,Elsevier Science,/scimag/journals/4339,/scimag/?journal=4339&page=1,996,/scimag/?journal=4339&year=2017&volume=464&issue=,/scimag/?journal=4339&year=2018&volume=476&issue=,/scimag/?journal=4339&year=2019&volume=488&issue=,/scimag/?journal=4339&year=2020&volume=500&issue=,/scimag/?journal=4339&year=2021&volume=512&issue=
Clínica e Investigación en Arteriosclerosis,4341,Elsevier Science,/scimag/journals/4341,/scimag/?journal=4341&page=1,43,/scimag/?journal=4341&year=2017&volume=29&issue=1,/scimag/?journal=4341&year=2018&volume=30&issue=,/scimag/?journal=4341&year=2019&volume=&issue=,/scimag/?journal=4341&year=2020&volume=32&issue=1,
Clínica e Investigación en Ginecología y Obstetricia,4342,Elsevier Science,/scimag/journals/4342,/scimag/?journal=4342&page=1,45,/scimag/?journal=4342&year=2017&volume=44&issue=1,/scimag/?journal=4342&year=2018&volume=45&issue=1,/scimag/?journal=4342&year=2019&volume=46&issue=1,/scimag/?journal=4342&year=2020&volume=47&issue=1,
Clinical Acupuncture and Oriental Medicine,4349,Elsevier Science,/scimag/journals/4349,/scimag/?journal=4349&page=1,7,,,,,
Clinical and Applied Immunology Reviews,4352,Elsevier Science,/scimag/journals/4352,/scimag/?journal=4352&page=1,8,,,,,
Clinical and Diagnostic Virology,4355,Elsevier Science,/scimag/journals/4355,/scimag/?journal=4355&page=1,14,,,,,
Clinical Biochemistry,4378,Elsevier Science,/scimag/journals/4378,/scimag/?journal=4378&page=1,418,/scimag/?journal=4378&year=2017&volume=50&issue=1-2,/scimag/?journal=4378&year=2018&volume=51&issue=,/scimag/?journal=4378&year=2019&volume=63&issue=,/scimag/?journal=4378&year=2020&volume=75&issue=,/scimag/?journal=4378&year=2021&volume=87&issue=
Clinical Biomechanics,4379,Elsevier Science,/scimag/journals/4379,/scimag/?journal=4379&page=1,203,/scimag/?journal=4379&year=2017&volume=41&issue=,/scimag/?journal=4379&year=2018&volume=51&issue=,/scimag/?journal=4379&year=2019&volume=61&issue=,/scimag/?journal=4379&year=2020&volume=71&issue=,/scimag/?journal=4379&year=2021&volume=81&issue=
Clinical Chiropractic,4391,Elsevier Science,/scimag/journals/4391,/scimag/?journal=4391&page=1,26,,,,,
Clinical Effectiveness in Nursing,4400,Elsevier Science,/scimag/journals/4400,/scimag/?journal=4400&page=1,25,,,,,
Clinical Endocrinology News,4402,Elsevier Science,/scimag/journals/4402,/scimag/?journal=4402&page=1,1,,,,,
Clinical Eye and Vision Care,4408,Elsevier Science,/scimag/journals/4408,/scimag/?journal=4408&page=1,10,,,,,
Clinical Gastroenterology and Hepatology,4409,Elsevier Science,/scimag/journals/4409,/scimag/?journal=4409&page=1,349,/scimag/?journal=4409&year=2017&volume=15&issue=1,/scimag/?journal=4409&year=2018&volume=16&issue=1,/scimag/?journal=4409&year=2019&volume=17&issue=1,/scimag/?journal=4409&year=2020&volume=18&issue=1,/scimag/?journal=4409&year=2021&volume=19&issue=1
Clinical Imaging,4414,Elsevier Science,/scimag/journals/4414,/scimag/?journal=4414&page=1,228,/scimag/?journal=4414&year=2017&volume=41&issue=,/scimag/?journal=4414&year=2018&volume=47&issue=,/scimag/?journal=4414&year=2019&volume=53&issue=,/scimag/?journal=4414&year=2020&volume=59&issue=1,/scimag/?journal=4414&year=2021&volume=69&issue=
Clinical Immunology,4415,Elsevier Science,/scimag/journals/4415,/scimag/?journal=4415&page=1,444,/scimag/?journal=4415&year=2017&volume=174&issue=,/scimag/?journal=4415&year=2018&volume=186&issue=,/scimag/?journal=4415&year=2019&volume=198&issue=,/scimag/?journal=4415&year=2020&volume=210&issue=,/scimag/?journal=4415&year=2021&volume=222&issue=
Clinical Immunology Newsletter,4417,Elsevier Science,/scimag/journals/4417,/scimag/?journal=4417&page=1,40,,,,,
Clinical Journal of Woman's Health,4428,Elsevier Science,/scimag/journals/4428,/scimag/?journal=4428&page=1,1,,,,,
Clinical Materials,4437,Elsevier Science,/scimag/journals/4437,/scimag/?journal=4437&page=1,27,,,,,
Clinical Microbiology Newsletter,4465,Elsevier Science,/scimag/journals/4465,/scimag/?journal=4465&page=1,125,/scimag/?journal=4465&year=2017&volume=39&issue=1,/scimag/?journal=4465&year=2018&volume=40&issue=1,/scimag/?journal=4465&year=2019&volume=41&issue=1,/scimag/?journal=4465&year=2020&volume=42&issue=1,/scimag/?journal=4465&year=2021&volume=43&issue=1
Clinical Neurology and Neurosurgery,4468,Elsevier Science,/scimag/journals/4468,/scimag/?journal=4468&page=1,384,/scimag/?journal=4468&year=2017&volume=152&issue=,/scimag/?journal=4468&year=2018&volume=164&issue=,/scimag/?journal=4468&year=2019&volume=176&issue=,/scimag/?journal=4468&year=2020&volume=188&issue=,/scimag/?journal=4468&year=2021&volume=200&issue=
Clinical Neurophysiology,4472,Elsevier Science,/scimag/journals/4472,/scimag/?journal=4472&page=1,830,/scimag/?journal=4472&year=2017&volume=128&issue=1,/scimag/?journal=4472&year=2018&volume=129&issue=,/scimag/?journal=4472&year=2019&volume=130&issue=1,/scimag/?journal=4472&year=2020&volume=131&issue=1,/scimag/?journal=4472&year=2021&volume=132&issue=1
Clinical Neuroscience Research,4477,Elsevier Science,/scimag/journals/4477,/scimag/?journal=4477&page=1,13,,,,,
Clinical Nutrition,4481,Elsevier Science,/scimag/journals/4481,/scimag/?journal=4481&page=1,597,/scimag/?journal=4481&year=2017&volume=36&issue=,/scimag/?journal=4481&year=2018&volume=37&issue=,/scimag/?journal=4481&year=2019&volume=38&issue=,/scimag/?journal=4481&year=2020&volume=39&issue=1,/scimag/?journal=4481&year=2021&volume=40&issue=5
Clinical Nutrition Supplements,4482,Elsevier Science,/scimag/journals/4482,/scimag/?journal=4482&page=1,114,,,,,
Clinical Oncology,4485,Elsevier Science,/scimag/journals/4485,/scimag/?journal=4485&page=1,229,/scimag/?journal=4485&year=2017&volume=29&issue=,/scimag/?journal=4485&year=2018&volume=30&issue=,/scimag/?journal=4485&year=2019&volume=31&issue=,/scimag/?journal=4485&year=2020&volume=32&issue=1,/scimag/?journal=4485&year=2021&volume=33&issue=1
Clinical Pediatric Emergency Medicine,4498,Elsevier Science,/scimag/journals/4498,/scimag/?journal=4498&page=1,41,/scimag/?journal=4498&year=2017&volume=18&issue=1,/scimag/?journal=4498&year=2018&volume=19&issue=1,/scimag/?journal=4498&year=2019&volume=20&issue=1,/scimag/?journal=4498&year=2020&volume=21&issue=1,
Clinical Positron Imaging,4509,Elsevier Science,/scimag/journals/4509,/scimag/?journal=4509&page=1,9,,,,,
Clinical Psychology Review,4520,Elsevier Science,/scimag/journals/4520,/scimag/?journal=4520&page=1,105,/scimag/?journal=4520&year=2017&volume=51&issue=,/scimag/?journal=4520&year=2018&volume=59&issue=,/scimag/?journal=4520&year=2019&volume=67&issue=,/scimag/?journal=4520&year=2020&volume=75&issue=,/scimag/?journal=4520&year=2021&volume=83&issue=
Clinical Radiology,4524,Elsevier Science,/scimag/journals/4524,/scimag/?journal=4524&page=1,630,/scimag/?journal=4524&year=2017&volume=72&issue=,/scimag/?journal=4524&year=2018&volume=73&issue=,/scimag/?journal=4524&year=2019&volume=74&issue=,/scimag/?journal=4524&year=2020&volume=75&issue=,/scimag/?journal=4524&year=2021&volume=76&issue=1
Clinical Radiology Extra,4525,Elsevier Science,/scimag/journals/4525,/scimag/?journal=4525&page=1,5,,,,,
Clinical Techniques in Equine Practice,4542,Elsevier Science,/scimag/journals/4542,/scimag/?journal=4542&page=1,12,,,,,
Clinical Techniques in Small Animal Practice,4543,Elsevier Science,/scimag/journals/4543,/scimag/?journal=4543&page=1,17,,,,,
